time,BTC open,BTC high,BTC low,BTC close,BTC volume,BTC quoteVolume
2019-03-20 00:00:00+00:00,4001.567,4045.441,3965.001,4036.183,912.18135016,3647957.394810993
2019-03-21 00:00:00+00:00,4035.178,4055.0,3910.0,3975.867,960.52855421,3833920.1397025357
2019-03-22 00:00:00+00:00,3975.864,3998.0,3962.051,3982.0,504.66276573,2011237.5925957137
2019-03-23 00:00:00+00:00,3982.0,3999.666,3960.011,3985.089,426.31625693,1696490.171008841
2019-03-24 00:00:00+00:00,3985.089,3985.089,3947.071,3968.389,319.9961935,1269829.5233989756
2019-03-25 00:00:00+00:00,3972.97,3990.736,3859.835,3909.999,625.00082027,2457832.626089215
2019-03-26 00:00:00+00:00,3906.401,3922.86,3882.108,3917.974,678.40698555,2650758.2184754643
2019-03-27 00:00:00+00:00,3917.974,4034.255,3914.85,4028.013,783.47611833,3131975.813607172
2019-03-28 00:00:00+00:00,4024.749,4024.749,3987.535,4012.891,539.44296887,2163274.3508106275
2019-03-29 00:00:00+00:00,4011.914,4098.045,4007.0,4090.0,1000.94472308,4066612.4425229644
2019-03-30 00:00:00+00:00,4089.999,4128.71,4044.284,4094.444,420.74089587,1719731.5682735534
2019-03-31 00:00:00+00:00,4094.7,4100.667,4060.228,4090.204,432.85397137,1769902.6627107828
2019-04-01 00:00:00+00:00,4090.204,4149.15,4054.091,4138.7,645.52409499,2663861.4965646504
2019-04-02 00:00:00+00:00,4138.7,5000.0,4134.244,4903.79,4184.78333791,19658691.093863107
2019-04-03 00:00:00+00:00,4902.46,5340.56,4810.0,4970.639,3726.56263313,18785296.820553232
2019-04-04 00:00:00+00:00,4967.223,5071.87,4785.341,4905.178,1322.9697716,6545476.81825387
2019-04-05 00:00:00+00:00,4916.5,5065.18,4889.208,5037.49,807.17510072,4029706.702446514
2019-04-06 00:00:00+00:00,5035.352,5236.999,4910.0,5036.716,1366.09892804,6905193.704153958
2019-04-07 00:00:00+00:00,5044.005,5266.297,5027.022,5191.518,494.4257075,2541547.8124421253
2019-04-08 00:00:00+00:00,5191.344,5340.801,5139.061,5285.0,1174.0307844,6151752.322176983
2019-04-09 00:00:00+00:00,5285.001,5285.001,5146.653,5192.931,1122.02554513,5846849.378994811
