time,BSV open,BSV high,BSV low,BSV close,BSV volume,BSV daily_return
2019-03-20 00:00:00+00:00,65.677,66.113,65.141,66.113,186.65957086,
2019-03-21 00:00:00+00:00,66.923,67.381,64.0,64.811,183.6752374,-0.019693554974059446
2019-03-22 00:00:00+00:00,64.386,66.619,64.386,66.619,39.14100498,0.02789649905108682
2019-03-23 00:00:00+00:00,67.0,67.405,65.771,66.562,51.64208394,-0.0008556117624101134
2019-03-24 00:00:00+00:00,65.95,65.95,65.502,65.662,20.938007,-0.013521228328475576
2019-03-25 00:00:00+00:00,64.5,64.5,62.96,63.588,109.30474958,-0.031586001035606714
2019-03-26 00:00:00+00:00,63.883,63.884,62.5,63.184,114.60743856,-0.006353400012581001
2019-03-27 00:00:00+00:00,63.775,65.077,63.775,65.077,33.0409353,0.02996011648518615
2019-03-28 00:00:00+00:00,64.504,64.621,62.886,63.72,46.76825963,-0.020852221214868516
2019-03-29 00:00:00+00:00,63.698,64.586,63.697,64.586,1036.79293663,0.013590709353421104
2019-03-30 00:00:00+00:00,64.693,66.0,64.301,64.301,127.65336492,-0.004412721023131949
2019-03-31 00:00:00+00:00,64.303,64.814,64.0,64.775,700.8351837,0.007371580535294964
2019-04-01 00:00:00+00:00,64.162,66.0,64.162,65.407,1036.08364937,0.009756850636819525
2019-04-02 00:00:00+00:00,65.99,80.1,64.015,80.0,3045.2797965,0.22311067622731517
2019-04-03 00:00:00+00:00,82.25,96.009,77.821,86.037,4147.7109092,0.07546249999999999
2019-04-04 00:00:00+00:00,82.197,100.458,81.388,82.198,1106.03454278,-0.044620337761660855
2019-04-05 00:00:00+00:00,83.109,85.513,82.715,84.284,326.03330537,0.02537774641718782
2019-04-06 00:00:00+00:00,84.293,89.1,82.811,84.441,558.22004185,0.0018627497508423296
2019-04-07 00:00:00+00:00,83.533,87.179,83.447,86.0,78.75569495,0.018462595184803643
2019-04-08 00:00:00+00:00,87.949,88.095,81.058,83.052,418.12157196,-0.03427906976744177
2019-04-09 00:00:00+00:00,81.798,81.798,78.065,78.76,59.22336812,-0.051678466502913856
2019-04-10 00:00:00+00:00,79.982,81.9,79.17,79.836,114.93760724,0.01366175723717622
2019-04-11 00:00:00+00:00,80.102,84.018,70.0,71.374,669.93708213,-0.10599228418257434
2019-04-12 00:00:00+00:00,71.905,79.096,68.991,71.378,152.34272012,5.6042816712009724e-05
2019-04-13 00:00:00+00:00,71.465,72.014,69.565,70.076,346.6665144,-0.018240914567513866
2019-04-14 00:00:00+00:00,70.047,71.629,69.527,71.255,136.68916692,0.016824590444660004
2019-04-15 00:00:00+00:00,71.727,73.2,58.4,58.501,2447.5840706,-0.1789909480036489
2019-04-16 00:00:00+00:00,61.267,61.267,53.093,56.94,3596.04111344,-0.026683304558896448
2019-04-17 00:00:00+00:00,56.63,57.283,54.52,54.835,2513.42605739,-0.03696873902353348
2019-04-18 00:00:00+00:00,55.051,62.0,54.803,59.327,1066.62097863,0.08191848272088986
2019-04-19 00:00:00+00:00,59.528,60.73,58.289,59.164,115.77040142,-0.002747484282030088
2019-04-20 00:00:00+00:00,59.489,59.489,58.249,58.249,587.76089578,-0.015465485768372589
