time,TRX open,TRX high,TRX low,TRX close,TRX volume,TRX daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
2019-03-20 00:00:00+00:00,0.023,0.023,0.022000000000000002,0.023,1256707.82504106,,0.023,0.023,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-21 00:00:00+00:00,0.023,0.023,0.021,0.022000000000000002,1008764.9057818,-0.0434782608695653,0.022480755423174785,0.02249174899693349,0.0,-1.0,-1.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-22 00:00:00+00:00,0.023,0.023,0.022000000000000002,0.023,502805.93423516,0.04545454545454541,0.022667324748346537,0.022666787685106646,1.0,0.0,1.0,0.06288499042172857,0.06288499042172856,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-23 00:00:00+00:00,0.023,0.024,0.023,0.024,1862947.70395721,0.04347826086956519,0.023039911443190595,0.023016769755663184,1.0,0.0,1.0,0.04976452135143302,0.050352424654486146,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-24 00:00:00+00:00,0.024,0.025,0.023,0.023,1639674.00609013,-0.04166666666666674,0.023030654869575225,0.023013190825548667,1.0,0.0,1.0,0.05024343125828114,0.05023993065895193,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-25 00:00:00+00:00,0.023,0.024,0.022000000000000002,0.023,4397953.63047756,0.0,0.023024514170595107,0.0230108070363075,1.0,0.0,1.0,0.042647355345595155,0.043146792321105645,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-26 00:00:00+00:00,0.022000000000000002,0.023,0.021,0.022000000000000002,2411939.53890367,-0.0434782608695653,0.022842282488227943,0.022851722254918716,0.0,-1.0,-1.0,0.04210293117654305,0.042566537568410036,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-27 00:00:00+00:00,0.022000000000000002,0.024,0.022000000000000002,0.023,2192488.27757084,0.04545454545454541,0.022867699042827608,0.022872467394990645,0.0,-1.0,-1.0,0.043708047775633425,0.0437561175295424,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-28 00:00:00+00:00,0.023,0.024,0.022000000000000002,0.023,1662836.71767182,0.0,0.022887312735857746,0.02288857911039519,0.0,-1.0,-1.0,0.03963425358611289,0.04016740499809838,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-29 00:00:00+00:00,0.024,0.024,0.022000000000000002,0.024,1694974.06803703,0.04347826086956519,0.02304088562820524,0.023016940684912873,1.0,0.0,1.0,0.039669399967492795,0.04016269868313284,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-30 00:00:00+00:00,0.024,0.024,0.023,0.023,696976.65034854,-0.04166666666666674,0.023035581505700425,0.023015134139159857,1.0,0.0,1.0,0.04074942168061606,0.040870671496963856,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-31 00:00:00+00:00,0.023,0.024,0.023,0.024,268916.23808552,0.04347826086956519,0.023154105636573868,0.02311290772824775,1.0,0.0,1.0,0.04075025568989757,0.04085487821716429,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-01 00:00:00+00:00,0.024,0.025,0.023,0.025,1694431.1536156998,0.04166666666666674,0.02337041092209987,0.023288518607624237,1.0,0.0,1.0,0.03992542949741539,0.04025313867166101,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
