time,XRP open,XRP high,XRP low,XRP close,XRP volume,XRP daily_return
2019-03-20 00:00:00+00:00,0.314,0.321,0.311,0.317,1415590.16603294,
2019-03-21 00:00:00+00:00,0.317,0.317,0.303,0.309,782117.87490359,-0.025236593059936974
2019-03-22 00:00:00+00:00,0.309,0.312,0.306,0.31,570221.35711726,0.003236245954692629
2019-03-23 00:00:00+00:00,0.309,0.311,0.308,0.31,158172.05993248,0.0
2019-03-24 00:00:00+00:00,0.309,0.309,0.304,0.306,465113.08225406,-0.012903225806451646
2019-03-25 00:00:00+00:00,0.306,0.306,0.298,0.3,1104694.73805542,-0.019607843137254943
2019-03-26 00:00:00+00:00,0.301,0.302,0.292,0.3,733784.47043561,0.0
2019-03-27 00:00:00+00:00,0.3,0.31,0.299,0.31,386346.96434798,0.03333333333333344
2019-03-28 00:00:00+00:00,0.309,0.309,0.303,0.305,677440.96591358,-0.016129032258064502
2019-03-29 00:00:00+00:00,0.305,0.309,0.304,0.307,754216.98348223,0.006557377049180246
2019-03-30 00:00:00+00:00,0.307,0.317,0.307,0.31,888264.90841883,0.009771986970684043
2019-03-31 00:00:00+00:00,0.31,0.311,0.307,0.308,901210.46604283,-0.006451612903225823
2019-04-01 00:00:00+00:00,0.308,0.314,0.307,0.313,1326367.92419953,0.016233766233766156
2019-04-02 00:00:00+00:00,0.312,0.36,0.311,0.354,8395918.47381016,0.1309904153354633
2019-04-03 00:00:00+00:00,0.354,0.375,0.329,0.343,8921748.9637548,-0.031073446327683496
2019-04-04 00:00:00+00:00,0.343,0.349,0.325,0.33,2760095.9182364,-0.03790087463556857
2019-04-05 00:00:00+00:00,0.331,0.378,0.331,0.363,4433684.94435379,0.09999999999999987
2019-04-06 00:00:00+00:00,0.363,0.365,0.347,0.352,1951946.41862409,-0.030303030303030276
2019-04-07 00:00:00+00:00,0.352,0.366,0.35,0.363,1403525.14162276,0.03125
2019-04-08 00:00:00+00:00,0.362,0.371,0.348,0.358,1712161.27092236,-0.01377410468319562
2019-04-09 00:00:00+00:00,0.356,0.357,0.349,0.349,1029149.45963556,-0.025139664804469275
2019-04-10 00:00:00+00:00,0.35,0.361,0.349,0.355,798637.31368522,0.017191977077363862
2019-04-11 00:00:00+00:00,0.355,0.355,0.323,0.328,3142657.98032104,-0.07605633802816891
2019-04-12 00:00:00+00:00,0.329,0.331,0.318,0.325,1445504.84916073,-0.009146341463414642
2019-04-13 00:00:00+00:00,0.325,0.337,0.323,0.327,543577.43875927,0.006153846153846176
2019-04-14 00:00:00+00:00,0.326,0.331,0.323,0.329,525480.55467279,0.006116207951070374
2019-04-15 00:00:00+00:00,0.329,0.332,0.314,0.319,1713206.38606459,-0.03039513677811556
2019-04-16 00:00:00+00:00,0.319,0.327,0.317,0.326,503040.96635625,0.021943573667711602
2019-04-17 00:00:00+00:00,0.327,0.342,0.321,0.335,1755409.492468,0.027607361963190247
2019-04-18 00:00:00+00:00,0.335,0.348,0.335,0.337,1125374.96729032,0.005970149253731405
