time,TRX open,TRX high,TRX low,TRX close,TRX volume,TRX daily_return
2019-03-20 00:00:00+00:00,0.023,0.023,0.022,0.023,1256707.82504106,
2019-03-21 00:00:00+00:00,0.023,0.023,0.021,0.022,1008764.9057818,-0.0434782608695653
2019-03-22 00:00:00+00:00,0.023,0.023,0.022,0.023,502805.93423516,0.045454545454545414
2019-03-23 00:00:00+00:00,0.023,0.024,0.023,0.024,1862947.70395721,0.04347826086956519
2019-03-24 00:00:00+00:00,0.024,0.025,0.023,0.023,1639674.00609013,-0.04166666666666674
2019-03-25 00:00:00+00:00,0.023,0.024,0.022,0.023,4397953.63047756,0.0
2019-03-26 00:00:00+00:00,0.022,0.023,0.021,0.022,2411939.53890367,-0.0434782608695653
2019-03-27 00:00:00+00:00,0.022,0.024,0.022,0.023,2192488.27757084,0.045454545454545414
2019-03-28 00:00:00+00:00,0.023,0.024,0.022,0.023,1662836.71767182,0.0
2019-03-29 00:00:00+00:00,0.024,0.024,0.022,0.024,1694974.06803703,0.04347826086956519
2019-03-30 00:00:00+00:00,0.024,0.024,0.023,0.023,696976.65034854,-0.04166666666666674
2019-03-31 00:00:00+00:00,0.023,0.024,0.023,0.024,268916.23808552,0.04347826086956519
2019-04-01 00:00:00+00:00,0.024,0.025,0.023,0.025,1694431.1536157,0.04166666666666674
2019-04-02 00:00:00+00:00,0.025,0.028,0.025,0.027,13961479.26999139,0.07999999999999985
2019-04-03 00:00:00+00:00,0.028,0.03,0.024,0.026,10157843.94472647,-0.03703703703703709
2019-04-04 00:00:00+00:00,0.027,0.027,0.024,0.025,1462544.03647532,-0.038461538461538325
2019-04-05 00:00:00+00:00,0.026,0.028,0.026,0.028,2210430.26536085,0.11999999999999988
2019-04-06 00:00:00+00:00,0.028,0.028,0.026,0.027,2001320.1773659,-0.0357142857142857
2019-04-07 00:00:00+00:00,0.027,0.03,0.027,0.029,4054291.86222891,0.07407407407407418
2019-04-08 00:00:00+00:00,0.028,0.032,0.027,0.03,7355762.12467544,0.0344827586206895
2019-04-09 00:00:00+00:00,0.031,0.032,0.029,0.03,1943991.23950689,0.0
