time,DGB open,DGB high,DGB low,DGB close,DGB volume,DGB daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
2019-03-20 00:00:00+00:00,0.013000000000000001,0.013999999999999999,0.013000000000000001,0.013999999999999999,1500865.73919122,,0.013999999999999999,0.013999999999999999,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-21 00:00:00+00:00,0.013999999999999999,0.013999999999999999,0.012,0.013000000000000001,424616.32724902,-0.07142857142857151,0.013480755423174784,0.01349174899693349,0.0,-1.0,-1.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-22 00:00:00+00:00,0.013000000000000001,0.013000000000000001,0.013000000000000001,0.013000000000000001,466445.1675853,0.0,0.013308015602909758,0.01332239350365483,0.0,-1.0,-1.0,0.05050762722761059,0.05050762722761058,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-23 00:00:00+00:00,0.013000000000000001,0.013000000000000001,0.012,0.013000000000000001,355141.34449509997,0.0,0.013221901213596862,0.013237761862705637,0.0,-1.0,-1.0,0.04042790429040752,0.0408957677862515,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-24 00:00:00+00:00,0.012,0.013000000000000001,0.012,0.013000000000000001,7364.33594548,0.0,0.013170436151078583,0.013187019734578517,0.0,-1.0,-1.0,0.03431426565711674,0.03512014678532401,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-25 00:00:00+00:00,0.013000000000000001,0.013000000000000001,0.011000000000000001,0.012,696226.27889154,-0.07692307692307687,0.012935977607336101,0.012972506635159552,0.0,-1.0,-1.0,0.04100344556704902,0.04079158401387996,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-26 00:00:00+00:00,0.013000000000000001,0.013000000000000001,0.012,0.012,206565.69206122,0.0,0.012769494039867458,0.012819449721330914,0.0,-1.0,-1.0,0.03827687525724464,0.0382943042125586,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-27 00:00:00+00:00,0.012,0.013000000000000001,0.012,0.012,919130.43215774,0.0,0.012645488233164944,0.012704802717213113,0.0,-1.0,-1.0,0.03564133875730307,0.03596635252537397,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-28 00:00:00+00:00,0.012,0.013000000000000001,0.012,0.013000000000000001,451404.55235332,0.08333333333333326,0.012698044806593324,0.01274209619685394,0.0,-1.0,-1.0,0.05189192836283428,0.05074906348693381,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-29 00:00:00+00:00,0.012,0.013000000000000001,0.012,0.013000000000000001,1560100.66121811,0.0,0.012739720607067734,0.012771882336880244,0.0,-1.0,-1.0,0.047541753290595054,0.04711311118397274,1.0,0.0,1.0,,,,,0.0,0.0,0.0
