time,TUSD open,TUSD high,TUSD low,TUSD close,TUSD volume,TUSD daily_return
2019-03-20 00:00:00+00:00,1.0,1.001,0.998,0.999,32233.16840936,
2019-03-21 00:00:00+00:00,0.999,1.001,0.999,0.999,10749.33011474,0.0
2019-03-22 00:00:00+00:00,0.999,1.003,0.999,1.002,975.51304304,0.0030030030030030463
2019-03-23 00:00:00+00:00,1.001,1.002,0.999,1.001,2317.60207572,-0.0009980039920161055
2019-03-24 00:00:00+00:00,1.001,1.001,1.001,1.001,304.0,0.0
2019-03-25 00:00:00+00:00,0.999,0.999,0.999,0.999,925.41262494,-0.0019980019980019303
2019-03-26 00:00:00+00:00,1.001,1.003,0.998,0.998,18344.2475539,-0.0010010010010009784
2019-03-27 00:00:00+00:00,0.999,1.001,0.999,1.001,756.4612394,0.0030060120240480437
2019-03-28 00:00:00+00:00,1.001,1.001,0.999,0.999,4662.79785158,-0.0019980019980019303
2019-03-29 00:00:00+00:00,1.001,1.001,1.001,1.001,8117.36141824,0.002002002002001957
2019-03-30 00:00:00+00:00,1.001,1.001,0.999,1.001,1809.77286302,0.0
2019-03-31 00:00:00+00:00,0.999,1.001,0.998,1.001,36396.18684826,0.0
2019-04-01 00:00:00+00:00,0.999,1.001,0.998,1.001,12523.68249396,0.0
2019-04-02 00:00:00+00:00,1.001,1.01,0.998,1.003,123915.66434829,0.0019980019980019303
2019-04-03 00:00:00+00:00,1.002,1.004,0.998,1.002,141237.30459453,-0.0009970089730806375
2019-04-04 00:00:00+00:00,1.001,1.001,0.999,0.999,54558.48386794,-0.0029940119760478723
2019-04-05 00:00:00+00:00,0.999,1.0,0.998,0.999,9847.02800177,0.0
2019-04-06 00:00:00+00:00,0.999,1.001,0.998,1.0,13674.33359312,0.0010010010010010895
2019-04-07 00:00:00+00:00,0.999,1.002,0.999,1.001,160636.22356161,0.0009999999999998899
2019-04-08 00:00:00+00:00,0.999,1.005,0.998,0.999,393272.28306326,-0.0019980019980019303
2019-04-09 00:00:00+00:00,0.999,1.001,0.997,1.0,107933.66194968,0.0010010010010010895
2019-04-10 00:00:00+00:00,1.0,1.002,0.998,1.001,178360.20033242,0.0009999999999998899
2019-04-11 00:00:00+00:00,1.0,1.003,0.999,1.001,41940.20296004,0.0
2019-04-12 00:00:00+00:00,0.999,1.001,0.999,0.999,30495.92127806,-0.0019980019980019303
2019-04-13 00:00:00+00:00,1.001,1.001,1.001,1.001,185.48752036,0.002002002002001957
2019-04-14 00:00:00+00:00,1.001,1.002,0.999,0.999,55957.5390467,-0.0019980019980019303
2019-04-15 00:00:00+00:00,1.005,1.05,0.999,1.001,200155.20202264,0.002002002002001957
2019-04-16 00:00:00+00:00,1.001,1.001,0.999,1.001,6670.2801168,0.0
2019-04-17 00:00:00+00:00,1.001,1.002,0.999,0.999,79929.030772,-0.0019980019980019303
2019-04-18 00:00:00+00:00,0.999,1.0,0.999,1.0,3972.0312319,0.0010010010010010895
2019-04-19 00:00:00+00:00,1.0,1.001,0.999,0.999,20564.32135402,-0.0010000000000000009
2019-04-20 00:00:00+00:00,0.999,1.001,0.999,1.0,5784.5245258,0.0010010010010010895
2019-04-21 00:00:00+00:00,0.999,1.001,0.999,1.0,2210.22990408,0.0
2019-04-22 00:00:00+00:00,1.0,1.001,0.999,0.999,11133.32638354,-0.0010000000000000009
2019-04-23 00:00:00+00:00,1.001,1.001,0.999,0.999,10174.40439284,0.0
2019-04-24 00:00:00+00:00,1.001,1.002,0.999,1.0,59498.99995128,0.0010010010010010895
2019-04-25 00:00:00+00:00,1.0,1.01,0.999,1.008,104265.88651074,0.008000000000000007
2019-04-26 00:00:00+00:00,1.007,1.025,0.999,1.022,25426.99890252,0.01388888888888884
2019-04-27 00:00:00+00:00,1.021,1.022,1.004,1.004,1246.92966518,-0.017612524461839585
2019-04-28 00:00:00+00:00,1.004,1.004,1.0,1.0,11946.45653502,-0.003984063745019917
2019-04-29 00:00:00+00:00,0.999,1.0,0.999,1.0,21096.54536238,0.0
2019-04-30 00:00:00+00:00,1.002,1.002,0.999,1.001,8524.35868362,0.0009999999999998899
