time,LTC open,LTC high,LTC low,LTC close,LTC volume,LTC daily_return
2019-03-20 00:00:00+00:00,59.145,60.5,56.664,60.136,2259.82618461,
2019-03-21 00:00:00+00:00,60.335,60.474,57.312,58.522,1219.72249639,-0.026839164560329976
2019-03-22 00:00:00+00:00,58.3,59.36,57.874,59.241,1818.50218208,0.01228597792283237
2019-03-23 00:00:00+00:00,58.98,61.214,58.98,60.68,1125.86295262,0.02429060954406581
2019-03-24 00:00:00+00:00,60.301,60.414,58.753,59.527,577.93124248,-0.019001318391562272
2019-03-25 00:00:00+00:00,59.119,60.089,57.95,58.75,1734.85971574,-0.013052900364540432
2019-03-26 00:00:00+00:00,58.827,58.827,57.29,58.3,1391.94275962,-0.007659574468085184
2019-03-27 00:00:00+00:00,58.306,61.4,58.306,61.4,1976.72792971,0.05317324185248706
2019-03-28 00:00:00+00:00,60.932,61.09,60.03,60.201,2708.80814834,-0.019527687296416962
2019-03-29 00:00:00+00:00,60.25,61.4,59.811,61.137,1970.73097762,0.015547914486470304
2019-03-30 00:00:00+00:00,61.14,61.257,59.887,60.347,525.07350304,-0.01292179858350917
2019-03-31 00:00:00+00:00,60.041,60.488,59.693,60.42,5814.85346346,0.0012096707375677251
2019-04-01 00:00:00+00:00,60.16,60.727,60.017,60.362,436.72183512,-0.0009599470374048735
2019-04-02 00:00:00+00:00,60.322,78.549,60.112,77.4,18452.8208498,0.2822636758225374
2019-04-03 00:00:00+00:00,77.63,99.5,76.57,85.201,29031.95416938,0.10078811369509033
2019-04-04 00:00:00+00:00,85.039,89.8,80.003,84.731,4917.13050171,-0.005516367178789006
2019-04-05 00:00:00+00:00,85.567,90.363,84.55,88.622,2073.38874141,0.045921799577486544
2019-04-06 00:00:00+00:00,88.425,97.7,86.0,92.605,3813.54239633,0.0449436934395524
2019-04-07 00:00:00+00:00,92.089,95.601,89.015,90.908,2244.68788445,-0.018325144430646367
2019-04-08 00:00:00+00:00,92.385,94.0,86.649,89.207,3416.86504235,-0.018711224534694537
2019-04-09 00:00:00+00:00,89.011,89.725,84.333,86.84,1490.10514274,-0.02653379219119567
2019-04-10 00:00:00+00:00,87.5,91.661,86.78,88.206,5089.32266864,0.015730078304928563
2019-04-11 00:00:00+00:00,88.285,88.285,75.599,79.5,8779.50091509,-0.0987007686551935
2019-04-12 00:00:00+00:00,79.307,80.827,75.47,79.169,2597.15730436,-0.004163522012578635
2019-04-13 00:00:00+00:00,78.539,81.209,76.51,78.029,2573.29608255,-0.014399575591456215
2019-04-14 00:00:00+00:00,77.794,83.68,76.658,83.5,1357.07565625,0.07011495725948058
2019-04-15 00:00:00+00:00,83.77,84.42,75.239,78.478,4035.65843973,-0.060143712574850405
2019-04-16 00:00:00+00:00,77.97,81.81,77.301,81.0,3189.82010939,0.032136394913224064
2019-04-17 00:00:00+00:00,80.94,81.863,78.73,79.327,1891.85959738,-0.020654320987654295
2019-04-18 00:00:00+00:00,79.324,83.752,79.324,82.21,2000.43028887,0.0363432374853454
