time,ADA open,ADA high,ADA low,ADA close,ADA volume,ADA daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
2019-03-20 00:00:00+00:00,0.052000000000000005,0.054000000000000006,0.051,0.054000000000000006,1157293.71153043,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-21 00:00:00+00:00,0.053,0.055,0.05,0.054000000000000006,2022167.22538419,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-22 00:00:00+00:00,0.052000000000000005,0.059000000000000004,0.051,0.057,3804860.11754157,0.05555555555555558,0.039283710065919325,0.039283710065919325,1.0,0.0,1.0,0.039283710065919325,0.039283710065919325,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-23 00:00:00+00:00,0.057,0.064,0.055999999999999994,0.064,2363546.08332457,0.1228070175438596,0.06055728305106738,0.061606525292228057,1.0,0.0,1.0,0.06055728305106738,0.061606525292228057,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-24 00:00:00+00:00,0.064,0.064,0.059000000000000004,0.062,1459650.36601212,-0.03125,0.0841143357666043,0.06914148882480095,1.0,0.0,1.0,0.0841143357666043,0.06914148882480095,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-25 00:00:00+00:00,0.062,0.062,0.055999999999999994,0.059000000000000004,2591409.35334667,-0.048387096774193616,0.07281204948828551,0.07104848749902537,1.0,0.0,1.0,0.07281204948828551,0.07104848749902537,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-26 00:00:00+00:00,0.06,0.062,0.057999999999999996,0.062,1714688.84719778,0.05084745762711873,0.06440471047630826,0.06411919510503096,1.0,0.0,1.0,0.06440471047630826,0.06411919510503096,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-27 00:00:00+00:00,0.062,0.068,0.061,0.067,1675121.35669433,0.08064516129032273,0.05891710185656974,0.06203475495807444,1.0,0.0,1.0,0.05891710185656974,0.06203475495807444,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-28 00:00:00+00:00,0.066,0.067,0.064,0.066,1020380.16348381,-0.0149253731343284,0.05757831904068429,0.05946538757179612,1.0,0.0,1.0,0.05757831904068429,0.05946538757179612,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-29 00:00:00+00:00,0.066,0.07200000000000001,0.066,0.071,1473725.1429098,0.07575757575757569,0.05410590362395777,0.05766665579872667,1.0,0.0,1.0,0.05410590362395777,0.05766665579872667,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-30 00:00:00+00:00,0.071,0.073,0.068,0.073,1333702.7145474,0.028169014084507005,0.03986713482033869,0.053374474531580035,1.0,0.0,1.0,0.03986713482033869,0.053374474531580035,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-31 00:00:00+00:00,0.07200000000000001,0.07200000000000001,0.07,0.07,962349.30053356,-0.041095890410958735,0.055734736971918455,0.055894667085447956,1.0,0.0,1.0,0.055734736971918455,0.055894667085447956,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-01 00:00:00+00:00,0.069,0.073,0.069,0.071,2648218.11255543,0.014285714285714013,0.04062283914173596,0.052356965650002064,1.0,0.0,1.0,0.04062283914173596,0.052356965650002064,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-02 00:00:00+00:00,0.073,0.086,0.07,0.086,7165504.55603428,0.2112676056338028,0.12881926800165394,0.07945174232703614,1.0,0.0,1.0,0.12881926800165394,0.07945174232703614,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-03 00:00:00+00:00,0.086,0.10099999999999999,0.084,0.091,11684033.11538147,0.05813953488372104,0.09621284404431271,0.07498706023012344,1.0,0.0,1.0,0.09621284404431271,0.07498706023012344,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-04 00:00:00+00:00,0.091,0.095,0.08199999999999999,0.08800000000000001,4903857.7420580005,-0.03296703296703296,0.09854052441038837,0.07501168014548405,1.0,0.0,1.0,0.09854052441038837,0.07501168014548405,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-05 00:00:00+00:00,0.09,0.09300000000000001,0.087,0.091,3451733.8691669996,0.03409090909090917,0.06988823515648893,0.07102591825181949,1.0,0.0,1.0,0.06988823515648893,0.07102591825181949,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
