time,XRP open,XRP high,XRP low,XRP close,XRP volume,XRP daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
2019-03-20 00:00:00+00:00,0.314,0.321,0.311,0.317,1415590.16603294,,0.317,0.317,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-21 00:00:00+00:00,0.317,0.317,0.303,0.309,782117.87490359,-0.02523659305993697,0.3128460433853983,0.3129339919754679,0.0,-1.0,-1.0,,0.0056568542494923844,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-22 00:00:00+00:00,0.309,0.312,0.306,0.31,570221.35711726,0.0032362459546926288,0.3118234339687149,0.31192354221069046,0.0,-1.0,-1.0,0.020133337546877485,0.0043188529637587375,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-23 00:00:00+00:00,0.309,0.311,0.308,0.31,158172.05993248,0.0,0.3113136419283608,0.3114185924152378,0.0,-1.0,-1.0,0.015253659780326037,0.003631006163476918,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-24 00:00:00+00:00,0.309,0.309,0.304,0.306,465113.08225406,-0.012903225806451646,0.3100812605924946,0.31026217940823236,0.0,-1.0,-1.0,0.012627067645745706,0.003985927820709122,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-25 00:00:00+00:00,0.306,0.306,0.298,0.3,1104694.73805542,-0.019607843137254943,0.3080618102573126,0.3084076424974075,0.0,-1.0,-1.0,0.011948256073863586,0.005587448572701994,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-26 00:00:00+00:00,0.301,0.302,0.292,0.3,733784.47043561,0.0,0.30662784546865424,0.30708441469956677,0.0,-1.0,-1.0,0.011536557052333543,0.006043370847853968,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-27 00:00:00+00:00,0.3,0.31,0.299,0.31,386346.96434798,0.03333333333333344,0.30717127624435864,0.30749232638864715,0.0,-1.0,-1.0,0.020266087260709446,0.00565192863993019,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-28 00:00:00+00:00,0.309,0.309,0.303,0.305,677440.96591358,-0.016129032258064502,0.3068493832917249,0.3071774606061582,0.0,-1.0,-1.0,0.01927949263264563,0.0053147968284127985,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-29 00:00:00+00:00,0.305,0.309,0.304,0.307,754216.98348223,0.006557377049180246,0.30687017138220735,0.3071569651097766,0.0,-1.0,-1.0,0.018078551584815826,0.004968105894055297,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-30 00:00:00+00:00,0.307,0.317,0.307,0.31,888264.90841883,0.009771986970684043,0.3072762063420837,0.30746014485918,0.0,-1.0,-1.0,0.017244658913718174,0.004762291610872106,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-31 00:00:00+00:00,0.31,0.311,0.307,0.308,901210.46604283,-0.006451612903225823,0.30736515840464085,0.3075137395432931,0.0,-1.0,-1.0,0.016146491340692064,0.004504371592669768,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-01 00:00:00+00:00,0.308,0.314,0.307,0.313,1326367.92419953,0.016233766233766156,0.30802545947296184,0.3080242853378536,1.0,0.0,1.0,0.016225762610763663,0.004585916628304677,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-02 00:00:00+00:00,0.312,0.36,0.311,0.354,8395918.47381016,0.1309904153354633,0.3131904536102249,0.3120583135613584,1.0,0.0,1.0,0.04628078299981344,0.014196125373204445,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-03 00:00:00+00:00,0.354,0.375,0.32899999999999996,0.34299999999999997,8921748.963754801,-0.031073446327683493,0.31641611424696336,0.3146310129012189,1.0,0.0,1.0,0.0461702258043591,0.016191311730281207,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-04 00:00:00+00:00,0.34299999999999997,0.349,0.325,0.33,2760095.9182364,-0.03790087463556857,0.3178375644100521,0.31584725620150406,1.0,0.0,1.0,0.046253364940911694,0.01608570563888472,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-05 00:00:00+00:00,0.331,0.37799999999999995,0.331,0.363,4433684.94435379,0.09999999999999988,0.3224235192345411,0.31941236874938744,1.0,0.0,1.0,0.05298201848846149,0.020091023989949212,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-06 00:00:00+00:00,0.363,0.365,0.34700000000000003,0.35200000000000004,1951946.41862409,-0.03030303030303028,0.3253466727628998,0.3217743512129824,1.0,0.0,1.0,0.052132103425088415,0.02118612960336817,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-07 00:00:00+00:00,0.35200000000000004,0.366,0.35,0.363,1403525.14162276,0.03125,0.3289783578161366,0.32464746429846286,1.0,0.0,1.0,0.04981647725327967,0.023083369517094953,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-08 00:00:00+00:00,0.36200000000000004,0.371,0.348,0.358,1712161.27092236,-0.01377410468319562,0.33171638464995634,0.3268884622534501,1.0,0.0,1.0,0.04797906402885947,0.023858677873483666,1.0,0.0,1.0,0.32339999999999997,0.022748973371861943,0.3461489733718619,0.30065102662813803,1.0,0.0,1.0
2019-04-09 00:00:00+00:00,0.35600000000000004,0.35700000000000004,0.349,0.349,1029149.45963556,-0.025139664804469275,0.33331467947041254,0.32832430686291475,1.0,0.0,1.0,0.04683645123151965,0.023711223660399697,1.0,0.0,1.0,0.32499999999999996,0.023391406429217578,0.3483914064292175,0.3016085935707824,1.0,0.0,1.0
2019-04-10 00:00:00+00:00,0.35,0.361,0.349,0.355,798637.31368522,0.017191977077363862,0.33528388653741054,0.3300020578963855,1.0,0.0,1.0,0.044678063168568025,0.023869269651199617,1.0,0.0,1.0,0.3272999999999999,0.02398925197929929,0.3512892519792992,0.3033107480207006,1.0,0.0,1.0
2019-04-11 00:00:00+00:00,0.355,0.355,0.32299999999999995,0.32799999999999996,3142657.98032104,-0.07605633802816891,0.33463330288632376,0.32987985779627715,1.0,0.0,1.0,0.04926627408230061,0.023111666855415103,1.0,0.0,1.0,0.32819999999999994,0.023641177279439655,0.3518411772794396,0.3045588227205603,1.0,-1.0,0.0
2019-04-12 00:00:00+00:00,0.32899999999999996,0.331,0.318,0.325,1445504.84916073,-0.009146341463414642,0.33378575038332375,0.3295902777358716,1.0,0.0,1.0,0.047056584043132746,0.022426241795702344,1.0,0.0,1.0,0.32894999999999996,0.023268399623795153,0.35221839962379514,0.3056816003762048,1.0,-1.0,0.0
2019-04-13 00:00:00+00:00,0.325,0.337,0.32299999999999995,0.327,543577.43875927,0.0061538461538461755,0.3331968892292501,0.3294405884224583,1.0,0.0,1.0,0.044949024340924015,0.021759424710967215,1.0,0.0,1.0,0.32999999999999996,0.02264369320815979,0.35264369320815975,0.3073563067918402,1.0,-1.0,0.0
2019-04-14 00:00:00+00:00,0.326,0.331,0.32299999999999995,0.32899999999999996,525480.55467279,0.006116207951070375,0.3328372380069816,0.3294157560721466,1.0,0.0,1.0,0.04296269985235633,0.02112159714804296,1.0,0.0,1.0,0.33144999999999997,0.021522265093080712,0.35297226509308066,0.30992773490691927,1.0,-1.0,0.0
2019-04-15 00:00:00+00:00,0.32899999999999996,0.332,0.314,0.319,1713206.38606459,-0.03039513677811556,0.3316650217230767,0.3288424048630317,1.0,0.0,1.0,0.042005765743811534,0.020660410912700357,1.0,0.0,1.0,0.3324,0.020453799029442922,0.3528537990294429,0.31194620097055703,1.0,-1.0,0.0
2019-04-16 00:00:00+00:00,0.319,0.327,0.317,0.326,503040.96635625,0.0219435736677116,0.33119014026645205,0.3286893950464718,1.0,0.0,1.0,0.04074984647110522,0.020094369409743545,1.0,0.0,1.0,0.3332,0.019835109753852297,0.35303510975385227,0.3133648902461477,1.0,-1.0,0.0
2019-04-17 00:00:00+00:00,0.327,0.342,0.321,0.335,1755409.492468,0.027607361963190247,0.3315064405272661,0.3290219966021572,1.0,0.0,1.0,0.039771857566976855,0.019598785678003796,1.0,0.0,1.0,0.3347,0.018691681234399935,0.35339168123439996,0.31600831876560004,1.0,-1.0,0.0
2019-04-18 00:00:00+00:00,0.335,0.348,0.335,0.337,1125374.96729032,0.005970149253731405,0.3319585024244454,0.3294341381977614,1.0,0.0,1.0,0.03808307161856416,0.019159915864721693,1.0,0.0,1.0,0.33619999999999994,0.017518711800754417,0.35371871180075437,0.3186812881992455,1.0,-1.0,0.0
2019-04-19 00:00:00+00:00,0.337,0.337,0.32799999999999996,0.332,809043.28364231,-0.014836795252225475,0.3319618895831737,0.32956419398762277,1.0,0.0,1.0,0.03679463730882515,0.01866725072860616,1.0,0.0,1.0,0.3373,0.016444804010609722,0.3537448040106097,0.3208551959893903,1.0,-1.0,0.0
