time,ADA open,ADA high,ADA low,ADA close,ADA volume,ADA daily_return
2019-03-20 00:00:00+00:00,0.052,0.054,0.051,0.054,1157293.71153043,
2019-03-21 00:00:00+00:00,0.053,0.055,0.05,0.054,2022167.22538419,0.0
2019-03-22 00:00:00+00:00,0.052,0.059,0.051,0.057,3804860.11754157,0.05555555555555558
2019-03-23 00:00:00+00:00,0.057,0.064,0.056,0.064,2363546.08332457,0.12280701754385959
2019-03-24 00:00:00+00:00,0.064,0.064,0.059,0.062,1459650.36601212,-0.03125
2019-03-25 00:00:00+00:00,0.062,0.062,0.056,0.059,2591409.35334667,-0.048387096774193616
2019-03-26 00:00:00+00:00,0.06,0.062,0.058,0.062,1714688.84719778,0.05084745762711873
2019-03-27 00:00:00+00:00,0.062,0.068,0.061,0.067,1675121.35669433,0.08064516129032273
2019-03-28 00:00:00+00:00,0.066,0.067,0.064,0.066,1020380.16348381,-0.014925373134328401
2019-03-29 00:00:00+00:00,0.066,0.072,0.066,0.071,1473725.1429098,0.07575757575757569
2019-03-30 00:00:00+00:00,0.071,0.073,0.068,0.073,1333702.7145474,0.028169014084507005
2019-03-31 00:00:00+00:00,0.072,0.072,0.07,0.07,962349.30053356,-0.041095890410958735
2019-04-01 00:00:00+00:00,0.069,0.073,0.069,0.071,2648218.11255543,0.014285714285714013
2019-04-02 00:00:00+00:00,0.073,0.086,0.07,0.086,7165504.55603428,0.21126760563380276
2019-04-03 00:00:00+00:00,0.086,0.101,0.084,0.091,11684033.11538147,0.058139534883721034
2019-04-04 00:00:00+00:00,0.091,0.095,0.082,0.088,4903857.742058,-0.03296703296703296
2019-04-05 00:00:00+00:00,0.09,0.093,0.087,0.091,3451733.869167,0.03409090909090917
2019-04-06 00:00:00+00:00,0.09,0.095,0.087,0.091,1874622.49028935,0.0
2019-04-07 00:00:00+00:00,0.09,0.091,0.088,0.09,1578863.25266177,-0.01098901098901095
2019-04-08 00:00:00+00:00,0.09,0.092,0.083,0.086,1894849.94105275,-0.04444444444444451
2019-04-09 00:00:00+00:00,0.086,0.087,0.082,0.083,2014253.26294908,-0.0348837209302324
2019-04-10 00:00:00+00:00,0.083,0.093,0.083,0.089,1920269.5205316,0.07228915662650581
2019-04-11 00:00:00+00:00,0.09,0.091,0.077,0.083,4962009.17761779,-0.0674157303370786
2019-04-12 00:00:00+00:00,0.083,0.086,0.08,0.084,1467563.51284081,0.012048192771084265
2019-04-13 00:00:00+00:00,0.082,0.086,0.082,0.083,1129036.39557462,-0.011904761904761862
2019-04-14 00:00:00+00:00,0.084,0.085,0.081,0.085,431676.62554798,0.024096385542168752
2019-04-15 00:00:00+00:00,0.086,0.086,0.08,0.082,1685788.82631634,-0.03529411764705881
2019-04-16 00:00:00+00:00,0.081,0.084,0.08,0.083,407541.15092899,0.012195121951219523
