time,BTC open,BTC high,BTC low,BTC close,BTC volume,BTC daily_return
2019-03-20 00:00:00+00:00,4001.567,4045.441,3965.001,4036.183,912.18135016,
2019-03-21 00:00:00+00:00,4035.178,4055.0,3910.0,3975.867,960.52855421,-0.014943821922841383
2019-03-22 00:00:00+00:00,3975.864,3998.0,3962.051,3982.0,504.66276573,0.00154255662978664
2019-03-23 00:00:00+00:00,3982.0,3999.666,3960.011,3985.089,426.31625693,0.0007757408337518701
2019-03-24 00:00:00+00:00,3985.089,3985.089,3947.071,3968.389,319.9961935,-0.004190621589630683
2019-03-25 00:00:00+00:00,3972.97,3990.736,3859.835,3909.999,625.00082027,-0.01471377931951745
2019-03-26 00:00:00+00:00,3906.401,3922.86,3882.108,3917.974,678.40698555,0.002039642465381908
2019-03-27 00:00:00+00:00,3917.974,4034.255,3914.85,4028.013,783.47611833,0.028085689185277873
2019-03-28 00:00:00+00:00,4024.749,4024.749,3987.535,4012.891,539.44296887,-0.003754208340439824
2019-03-29 00:00:00+00:00,4011.914,4098.045,4007.0,4090.0,1000.94472308,0.019215323815174656
2019-03-30 00:00:00+00:00,4089.999,4128.71,4044.284,4094.444,420.74089587,0.00108655256723722
2019-03-31 00:00:00+00:00,4094.7,4100.667,4060.228,4090.204,432.85397137,-0.001035549637508737
2019-04-01 00:00:00+00:00,4090.204,4149.15,4054.091,4138.7,645.52409499,0.011856621332334338
2019-04-02 00:00:00+00:00,4138.7,5000.0,4134.244,4903.79,4184.78333791,0.18486239640466828
2019-04-03 00:00:00+00:00,4902.46,5340.56,4810.0,4970.639,3726.56263313,0.01363210904218981
2019-04-04 00:00:00+00:00,4967.223,5071.87,4785.341,4905.178,1322.9697716,-0.013169534138367411
2019-04-05 00:00:00+00:00,4916.5,5065.18,4889.208,5037.49,807.17510072,0.026973944676421446
2019-04-06 00:00:00+00:00,5035.352,5236.999,4910.0,5036.716,1366.09892804,-0.00015364794768812917
2019-04-07 00:00:00+00:00,5044.005,5266.297,5027.022,5191.518,494.4257075,0.030734708885710393
2019-04-08 00:00:00+00:00,5191.344,5340.801,5139.061,5285.0,1174.0307844,0.018006679356596722
2019-04-09 00:00:00+00:00,5285.001,5285.001,5146.653,5192.931,1122.02554513,-0.017420813623462705
2019-04-10 00:00:00+00:00,5190.808,5461.71,5171.089,5324.67,1197.12172401,0.025368910158829472
2019-04-11 00:00:00+00:00,5330.0,5348.909,4972.12,5051.436,1659.76928092,-0.05131472936350989
2019-04-12 00:00:00+00:00,5040.552,5113.261,4907.941,5081.666,825.39882765,0.005984436900715151
2019-04-13 00:00:00+00:00,5081.665,5119.55,5043.76,5076.094,244.03598093,-0.001096490796522298
2019-04-14 00:00:00+00:00,5062.202,5183.831,5020.393,5163.46,272.8622488,0.017211265197216497
2019-04-15 00:00:00+00:00,5162.9,5185.839,4949.001,5039.002,690.24897422,-0.024103604947070312
2019-04-16 00:00:00+00:00,5026.682,5230.329,5018.352,5206.103,599.67851328,0.03316152682614537
2019-04-17 00:00:00+00:00,5207.822,5266.665,5172.0,5225.201,554.28135772,0.0036683868913081064
2019-04-18 00:00:00+00:00,5226.597,5320.0,5225.19,5284.646,589.06001402,0.011376595847700344
2019-04-19 00:00:00+00:00,5284.046,5350.0,5197.631,5285.282,489.88041143,0.00012034864776189202
2019-04-20 00:00:00+00:00,5287.229,5355.0,5263.357,5323.6,274.40971958,0.007249944279226872
2019-04-21 00:00:00+00:00,5317.19,5345.0,5218.0,5300.847,242.23451837,-0.0042739875272372885
2019-04-22 00:00:00+00:00,5295.058,5437.75,5256.533,5383.568,545.4526368,0.015605241954729232
2019-04-23 00:00:00+00:00,5383.569,5637.42,5369.969,5537.071,771.09503815,0.028513246233724532
2019-04-24 00:00:00+00:00,5533.138,5620.01,5376.854,5443.23,955.52801519,-0.016947768955825282
2019-04-25 00:00:00+00:00,5444.489,5510.234,4980.001,5138.357,1195.79313788,-0.05600957519707961
2019-04-26 00:00:00+00:00,5131.831,5280.0,5034.814,5161.489,975.06947473,0.0045018281135389415
2019-04-27 00:00:00+00:00,5155.699,5218.845,5114.199,5172.017,284.52617765,0.002039721483471091
2019-04-28 00:00:00+00:00,5173.535,5213.37,5105.0,5152.476,260.2766827,-0.003778216506248988
2019-04-29 00:00:00+00:00,5156.598,5187.0,5062.799,5151.347,375.92848908,-0.000219117954164183
2019-04-30 00:00:00+00:00,5147.0,5288.151,5133.069,5269.79,520.62598432,0.0229926269769829
2019-05-01 00:00:00+00:00,5267.502,5349.875,5267.502,5326.098,465.75642947,0.01068505576123524
2019-05-02 00:00:00+00:00,5325.815,5419.188,5310.0,5393.231,436.03793136,0.012604537130184168
2019-05-03 00:00:00+00:00,5390.0,5794.2,5367.949,5669.999,1118.47609979,0.05131766097168833
2019-05-04 00:00:00+00:00,5669.995,5831.288,5500.0,5770.242,635.47650997,0.01767954456429366
2019-05-05 00:00:00+00:00,5770.241,5780.0,5631.186,5720.744,303.11500277,-0.008578149755244291
2019-05-06 00:00:00+00:00,5710.981,5751.72,5570.141,5685.612,487.41984234,-0.006141159261802254
2019-05-07 00:00:00+00:00,5692.538,5963.382,5692.538,5753.769,720.88125213,0.011987627717121807
2019-05-08 00:00:00+00:00,5750.327,5983.6,5664.178,5940.0,544.44072026,0.0323667842765325
2019-05-09 00:00:00+00:00,5940.0,6174.646,5936.701,6152.9,692.79352353,0.035841750841750786
2019-05-10 00:00:00+00:00,6152.9,6424.49,6106.95,6345.0,887.88231946,0.031221050236473813
2019-05-11 00:00:00+00:00,6349.887,7449.453,6345.0,7226.01,2329.6035963,0.1388510638297873
2019-05-12 00:00:00+00:00,7222.678,7575.0,6763.702,6972.99,2563.00567557,-0.03501517434932977
2019-05-13 00:00:00+00:00,6980.397,8157.002,6865.16,7814.376,2825.5540919,0.12066358907728247
2019-05-14 00:00:00+00:00,7814.376,8320.0,7616.0,7989.85,1919.2113298,0.02245527985855822
2019-05-15 00:00:00+00:00,8003.319,8297.647,7844.19,8196.865,1342.94835398,0.025909747992765686
2019-05-16 00:00:00+00:00,8201.788,8382.558,7654.09,7889.0,1659.22752488,-0.03755887159298099
2019-05-17 00:00:00+00:00,7877.612,7936.1,6635.029,7361.252,2727.40730606,-0.06689669159589295
2019-05-18 00:00:00+00:00,7353.0,7482.999,7220.429,7271.825,705.22015805,-0.012148341070241986
2019-05-19 00:00:00+00:00,7264.61,8294.52,7262.186,8185.427,1577.20495023,0.12563586169909202
2019-05-20 00:00:00+00:00,8195.484,8200.0,7581.54,8007.935,1412.20785858,-0.0216839023791916
2019-05-21 00:00:00+00:00,8007.129,8109.546,7812.21,7950.89,838.54104716,-0.007123559319599848
2019-05-22 00:00:00+00:00,7961.619,8042.0,7510.0,7632.74,823.57780161,-0.04001438832633841
