time,BTC open,BTC high,BTC low,BTC close,BTC volume,BTC daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
2019-03-20 00:00:00+00:00,4001.567,4045.441,3965.0009999999997,4036.183,912.18135016,,4036.183,4036.183,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-21 00:00:00+00:00,4035.178,4055.0,3910.0,3975.867,960.52855421,-0.014943821922841384,4004.8642441042107,4005.5273324990403,0.0,-1.0,-1.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2019-03-22 00:00:00+00:00,3975.864,3998.0,3962.051,3982.0,504.66276573,0.00154255662978664,3996.648912094069,3997.424656081289,0.0,-1.0,-1.0,0.011657630071771735,0.011657630071771733,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-23 00:00:00+00:00,3982.0,3999.6659999999997,3960.011,3985.0890000000004,426.31625693,0.0007757408337518701,3993.417014874943,3994.1864183236758,0.0,-1.0,-1.0,0.00911415735122647,0.009224087823297885,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-24 00:00:00+00:00,3985.0890000000004,3985.0890000000004,3947.071,3968.389,319.9961935,-0.004190621589630683,3987.6123221949497,3988.6808427404735,0.0,-1.0,-1.0,0.007297918359542815,0.007469106751464232,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-25 00:00:00+00:00,3972.97,3990.736,3859.835,3909.9990000000003,625.00082027,-0.01471377931951745,3972.0650354163627,3974.4617986398735,0.0,-1.0,-1.0,0.008025120186906556,0.008055842157796839,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-26 00:00:00+00:00,3906.401,3922.86,3882.1079999999997,3917.974,678.40698555,0.002039642465381908,3962.443791837877,3965.571527030185,0.0,-1.0,-1.0,0.007954507708540212,0.007971911033811657,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-03-27 00:00:00+00:00,3917.974,4034.255,3914.85,4028.013,783.47611833,0.028085689185277873,3973.0104267066663,3974.307545387803,0.0,-1.0,-1.0,0.015329814276107573,0.014826666192406501,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-28 00:00:00+00:00,4024.7490000000003,4024.7490000000003,3987.535,4012.8909999999996,539.44296887,-0.003754208340439824,3978.9227446456985,3979.1819509564057,0.0,-1.0,-1.0,0.014031196489622925,0.013694881174812627,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-29 00:00:00+00:00,4011.914,4098.045,4007.0,4090.0,1000.94472308,0.019215323815174656,3994.2536070798355,3991.98068399558,1.0,0.0,1.0,0.014699775901176168,0.0144319007752862,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-30 00:00:00+00:00,4089.9990000000003,4128.71,4044.284,4094.4440000000004,420.74089587,0.0010865525672372198,4007.2513801649393,4002.907318268021,1.0,0.0,1.0,0.013586830232355804,0.013495026727111278,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-03-31 00:00:00+00:00,4094.7,4100.667,4060.228,4090.204,432.85397137,-0.001035549637508737,4017.4460075261313,4011.573787710994,1.0,0.0,1.0,0.01268874672757109,0.012732371322674399,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-01 00:00:00+00:00,4090.204,4149.15,4054.091,4138.7,645.52409499,0.011856621332334338,4031.654772655327,4023.4040231828103,1.0,0.0,1.0,0.012281348872720753,0.012440764350089067,1.0,0.0,1.0,,,,,0.0,0.0,0.0
2019-04-02 00:00:00+00:00,4138.7,5000.0,4134.244000000001,4903.79,4184.78333791,0.18486239640466828,4129.634508493831,4100.651367876779,1.0,0.0,1.0,0.06199498973516169,0.056347566354586855,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-03 00:00:00+00:00,4902.46,5340.56,4810.0,4970.639,3726.56263313,0.013632109042189809,4220.638747474878,4172.987974715863,1.0,0.0,1.0,0.05836441860201943,0.05369145561896955,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-04 00:00:00+00:00,4967.223,5071.87,4785.340999999999,4905.178,1322.9697715999998,-0.013169534138367413,4292.270565485785,4230.930714017014,1.0,0.0,1.0,0.05624867507097235,0.052109723681252176,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-05 00:00:00+00:00,4916.5,5065.18,4889.208,5037.49,807.17510072,0.026973944676421446,4367.942805398684,4291.91284144862,1.0,0.0,1.0,0.05317061817501581,0.04998202960263057,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-06 00:00:00+00:00,5035.352,5236.999,4910.0,5036.715999999999,1366.09892804,-0.00015364794768812914,4434.040146017845,4345.896881767459,1.0,0.0,1.0,0.05071750405053347,0.04819971127385158,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-07 00:00:00+00:00,5044.005,5266.297,5027.022,5191.518,494.42570750000004,0.030734708885710393,4507.099320394189,4404.8302199110085,1.0,0.0,1.0,0.048227829752716375,0.0465085490215212,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
2019-04-08 00:00:00+00:00,5191.344,5340.8009999999995,5139.061,5285.0,1174.0307844000001,0.018006679356596722,4580.489823981598,4463.969911563603,1.0,0.0,1.0,0.04578476121530993,0.04479203335348791,0.0,-1.0,-1.0,4378.0042,513.312079319517,4891.316279319517,3864.692120680483,0.0,-1.0,-1.0
2019-04-09 00:00:00+00:00,5285.001,5285.001,5146.653,5192.931,1122.02554513,-0.017420813623462702,4637.125055652723,4511.306051697239,1.0,0.0,1.0,0.04490867328339546,0.04410686057488849,0.0,-1.0,-1.0,4435.8416,537.3745721240591,4973.216172124059,3898.4670278759404,0.0,-1.0,-1.0
2019-04-10 00:00:00+00:00,5190.808,5461.71,5171.089,5324.67,1197.12172401,0.025368910158829472,4699.559842421962,4562.462068444021,1.0,0.0,1.0,0.042831728010508226,0.0426828163986739,0.0,-1.0,-1.0,4503.28175,560.7388452984314,5064.0205952984315,3942.5429047015687,0.0,-1.0,-1.0
2019-04-11 00:00:00+00:00,5330.0,5348.909000000001,4972.12,5051.436,1659.76928092,-0.051314729363509885,4730.9887882397925,4592.307690538364,1.0,0.0,1.0,0.04549676641098496,0.04449380110054948,0.0,-1.0,-1.0,4556.753549999999,559.4022538628993,5116.155803862899,3997.3512961371002,0.0,0.0,0.0
2019-04-12 00:00:00+00:00,5040.552,5113.2609999999995,4907.941,5081.666,825.39882765,0.005984436900715151,4761.841897716335,4621.3471451146825,1.0,0.0,1.0,0.043402661740041266,0.04309151805535446,0.0,-1.0,-1.0,4611.582399999999,554.1373294306818,5165.719729430681,4057.4450705693175,0.0,0.0,0.0
