time,XRP open,XRP high,XRP low,XRP close,XRP volume,XRP quoteVolume
2019-03-20 00:00:00+00:00,0.314,0.321,0.311,0.317,1415590.16603294,443474.16032461793
2019-03-21 00:00:00+00:00,0.317,0.317,0.303,0.309,782117.87490359,242264.1160461387
2019-03-22 00:00:00+00:00,0.309,0.312,0.306,0.31,570221.35711726,176435.8095721675
2019-03-23 00:00:00+00:00,0.309,0.311,0.308,0.31,158172.05993248,48949.63606462756
2019-03-24 00:00:00+00:00,0.309,0.309,0.304,0.306,465113.08225406,142803.24209113797
2019-03-25 00:00:00+00:00,0.306,0.306,0.298,0.3,1104694.73805542,332288.61878703895
2019-03-26 00:00:00+00:00,0.301,0.302,0.292,0.3,733784.47043561,217659.20745051114
2019-03-27 00:00:00+00:00,0.3,0.31,0.299,0.31,386346.96434798,118321.41703246442
2019-03-28 00:00:00+00:00,0.309,0.309,0.303,0.305,677440.96591358,207423.2397058777
2019-03-29 00:00:00+00:00,0.305,0.309,0.304,0.307,754216.98348223,230845.35041919578
2019-03-30 00:00:00+00:00,0.307,0.317,0.307,0.31,888264.90841883,277803.4148484335
2019-03-31 00:00:00+00:00,0.31,0.311,0.307,0.308,901210.46604283,278131.93844521476
2019-04-01 00:00:00+00:00,0.308,0.314,0.307,0.313,1326367.92419953,412973.41120733105
2019-04-02 00:00:00+00:00,0.312,0.36,0.311,0.354,8395918.47381016,2802071.28853194
2019-04-03 00:00:00+00:00,0.354,0.375,0.329,0.343,8921748.9637548,3219231.908687665
2019-04-04 00:00:00+00:00,0.343,0.349,0.325,0.33,2760095.9182364,935661.6202103802
2019-04-05 00:00:00+00:00,0.331,0.378,0.331,0.363,4433684.94435379,1617293.9659576134
2019-04-06 00:00:00+00:00,0.363,0.365,0.347,0.352,1951946.41862409,694090.047475464
2019-04-07 00:00:00+00:00,0.352,0.366,0.35,0.363,1403525.14162276,505209.3965235893
2019-04-08 00:00:00+00:00,0.362,0.371,0.348,0.358,1712161.27092236,612904.0285310892
2019-04-09 00:00:00+00:00,0.356,0.357,0.349,0.349,1029149.45963556,363550.0986961373
